导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Marc Forster,Mathieu Amalric,Giancarlo Giannini,Quantum of Solace?,Rory Kinnear,action hero|attempted rape|bond girl|official james bond series|revenge,PG-13,Action,,,,
Paul Greengrass,Edgar Ramírez,Matt Damon,The Bourne Ultimatum?,Albert Finney,action hero|cia|dark past|flashback|memory,PG-13,Action,,,,
John McTiernan,Tom Noonan,F. Murray Abraham,Last Action Hero?,Joan Plowright,action hero|hero|magic|ticket|video store,PG-13,Action,,Comedy,,
Paul Abascal,Tom Hollander,Cole Hauser,Paparazzi?,Kelly Carlson,actor|coma|movie star|paparazzi|revenge,PG-13,Action,,Drama,,
J.J. Abrams,Bruce Greenwood,Benedict Cumberbatch,Star Trek Into Darkness?,Noel Clarke,admiral|captain|manhunt|mission|space,PG-13,Action,,,,
Jon Favreau,Jeff Bridges,Robert Downey Jr.,Iron Man?,Jon Favreau,afghanistan|billionaire|inventor|playboy|u.s. air force,PG-13,Action,,,,
David Yates,Alexander Skarsg?rd,Christoph Waltz,The Legend of Tarzan?,Casper Crump,africa|capture|jungle|male objectification|tarzan,PG-13,Action,,Drama,,
Preston A. Whitmore II,Wayne Brady,Wesley Jonathan,Crossover?,Eva Marcille,african american|basketball|basketball movie|critically bashed|tv commercial,PG-13,Action,,,,
Anthony Hemingway,Nate Parker,David Oyelowo,Red Tails?,Tristan Mack Wilds,african american|battle|italy|tuskegee airmen|world war two,PG-13,Action,,Drama,,
Malcolm D. Lee,Eddie Griffin,Dave Chappelle,Undercover Brother?,Chi McBride,african american|cadillac|disguise|secret agent|undercover,PG-13,Action,Comedy,,,
Damien Dante Wayans,Essence Atkins,Damon Wayans Jr.,Dance Flick?,Chris Elliott,african american|dance|overalls|parody|rap,PG-13,Action,Comedy,,,
Pierre Morel,Holly Valance,Liam Neeson,Taken?,Xander Berkeley,agent|cia|france|rescue|teenage abduction,PG-13,Action,,,,
Martin Campbell,Joe Don Baker,Izabella Scorupco,GoldenEye?,Tchéky Karyo,agent|cossack|official james bond series|russia|russian,PG-13,Action,,,,
Rob Cohen,Eve,Vin Diesel,xXx?,Leila Arcieri,agent|nsa|nsa agent|prague|russian,PG-13,Action,,,,
Jaume Collet-Serra,Frank Langella,Liam Neeson,Unknown?,Aidan Quinn,agriculture|airport|amnesia|nurse|scientist,PG-13,Action,,,,
Jaume Collet-Serra,Nate Parker,Liam Neeson,Non-Stop?,Scoot McNairy,air marshal|death|passenger|terrorist|transatlantic flight,PG-13,Action,,,,
Michael Bay,Jaime King,Jennifer Garner,Pearl Harbor?,Mako,air raid|black smoke|japanese military|japanese navy|sunday,PG-13,Action,Drama,,,
Camille Delamarre,Noémie Lenoir,Ed Skrein,The Transporter Refueled?,Radivoje Bukvic,airfield|car|car stunt|driver|private jet,PG-13,Action,,,,
Ivan Reitman,Anne Heche,Harrison Ford,Six Days Seven Nights?,Amy Sedaris,airplane|island|pilot|storm|thunderstorm,PG-13,Action,,Comedy,,
Peter Segal,Dwayne Johnson,Bill Murray,Get Smart?,Anne Hathaway,airplane|misunderstanding|obese woman|overweight woman|spy,PG-13,Action,,Comedy,,
Mike Newell,Richard Coyle,Jake Gyllenhaal,Prince of Persia: The Sands of Time?,Reece Ritchie,alamut|dagger|king|persia|princess,PG-13,Action,,,,
Olivier Megaton,Luke Grimes,Liam Neeson,Taken 2?,D.B. Sweeney,albanian|revenge|revenge motive|teenage daughter|vacation,PG-13,Action,,,,
Don Michael Paul,Nia Peeples,Claudia Christian,Half Past Dead?,Tony Plana,alcatraz|fbi|gold|prison|undercover,PG-13,Action,,,,
Richard Donner,David Zayas,Bruce Willis,16 Blocks?,Sasha Roiz,alcoholic|courthouse|detective|jail|witness,PG-13,Action,,Drama,,
Michael Bay,Michael O'Neill,Zack Ward,Transformers?,Kevin Dunn,alien contact|autobot|decepticon|robot vs. robot|teenage hero,PG-13,Action,,,,
Joss Whedon,Robert Downey Jr.,Chris Hemsworth,The Avengers?,Scarlett Johansson,alien invasion|assassin|battle|iron man|soldier,PG-13,Action,,,,
Andrew Niccol,Chandler Canterbury,J.D. Evermore,The Host?,Rachel Roberts,alien|alien creature|body snatching|desert|parasite,PG-13,Action,,,,
Andrew Stanton,Samantha Morton,Daryl Sabara,John Carter?,Polly Walker,alien|american civil war|male nipple|mars|princess,PG-13,Action,,,,
Paul W.S. Anderson,Colin Salmon,Sanaa Lathan,AVP: Alien vs. Predator?,Raoul Bova,alien|antarctica|predator|pyramid|satellite,PG-13,Action,,,,
Chris Columbus,Adam Sandler,Peter Dinklage,Pixels?,Josh Gad,alien|arcade game|chase|driving in reverse|video gamer,PG-13,Action,,Comedy,,
Roland Emmerich,Adam Baldwin,Will Smith,Independence Day?,Mary McDonnell,alien|area 51|military|spacecraft|spaceship,PG-13,Action,,,,
J Blakeson,Maggie Siff,Chlo? Grace Moretz,The 5th Wave?,Nick Robinson,alien|attack|based on novel|based on young adult novel|fear,PG-13,Action,,,,
Chris Gorak,Veronika Vernadskaya,Max Minghella,The Darkest Hour?,Dato Bakhtadze,alien|aurora borealis|critically bashed|killing an animal|nightclub,PG-13,Action,,,,
Roger Christian,Michael Byrne,Richard Tyson,Battlefield Earth?,John Topor,alien|bad acting|pulp fiction|resistance fighter|voyager golden record,PG-13,Action,,,,
Roland Emmerich,Sela Ward,Vivica A. Fox,Independence Day: Resurgence?,Judd Hirsch,alien|battle|defense|independence day|mothership,PG-13,Action,,,,
Doug Liman,Lara Pulver,Tom Cruise,Edge of Tomorrow?,Noah Taylor,alien|combat|dying repeatedly|end of the world|time loop,PG-13,Action,,,,
Barry Sonnenfeld,Michael Stuhlbarg,Will Smith,Men in Black 3?,Nicole Scherzinger,alien|criminal|m.i.b.|maximum security prison|prison,PG-13,Action,,Comedy,,
Jonathan Liebesman,Jim Parrack,Noel Fisher,Battle Los Angeles?,Ramon Rodriguez,alien|extraterrestrial|invasion|marine|mission,PG-13,Action,,,,
Gavin Hood,Moises Arias,Harrison Ford,Ender's Game?,Aramis Knight,alien|future|manipulation|simulation|training,PG-13,Action,,,,
Tim Burton,Martin Short,Natalie Portman,Mars Attacks!?,Lukas Haas,alien|general|martian|president|weapon,PG-13,Action,Comedy,,,
Barry Sonnenfeld,Rosario Dawson,Will Smith,Men in Black II?,Rip Torn,alien|lingerie|lingerie model|m.i.b.|pug,PG-13,Action,,Comedy,,
Joss Whedon,Sean Maher,Adam Baldwin,Serenity?,Michael Hitchcock,alliance|cannibalism|future|operative|planet,PG-13,Action,,,,
John R. Leonetti,Talisa Soto,Brian Thompson,Mortal Kombat: Annihilation?,Robin Shou,alternate reality|battle|martial arts|mortal kombat|warrior,PG-13,Action,,,,
Zack Snyder,Abbie Cornish,Jon Hamm,Sucker Punch?,Scott Glenn,alternate reality|escape|girl gang|prostitution|samurai,PG-13,Action,,,,
Alan Taylor,Emilia Clarke,J.K. Simmons,Terminator Genisys?,Matt Smith,alternate timeline|cyborg|future|robot|time machine,PG-13,Action,,,,
Rupert Wyatt,David Oyelowo,James Franco,Rise of the Planet of the Apes?,Tyler Labine,alzheimer's disease|ape|chimpanzee|fire|when animals attack,PG-13,Action,Drama,,,
Luis Llosa,Eric Stoltz,Frank Welker,Anaconda?,Kari Wuhrer,amazon|anaconda|boat|jungle|snake,PG-13,Action,,,,
Peter Berg,Rosario Dawson,Dwayne Johnson,The Rundown?,Ewen Bremner,amazon|bounty hunter|fight|hunter|jungle,PG-13,Action,,Comedy,,
Brett Ratner,Dana Ivey,Tzi Ma,Rush Hour 3?,Noémie Lenoir,ambassador|assassination|chinese|french|triad,PG-13,Action,Comedy,,,
Christopher Nolan,Tom Hardy,Leonardo DiCaprio,Inception?,Joseph Gordon-Levitt,ambiguous ending|corporate espionage|dream|subconscious|thief,PG-13,Action,,,,
Tony Bill,Tyler Labine,James Franco,Flyboys?,Philip Winchester,american|france|military|pilot|training,PG-13,Action,,Drama,,
Doug Liman,Josh Hamilton,Matt Damon,The Bourne Identity?,Nicky Naudé,amnesia|assassin|money|political thriller|three word title,PG-13,Action,,,,
Dwight H. Little,Salli Richardson-Whitfield,Nicholas Gonzalez,Anacondas: The Hunt for the Blood Orchid?,Johnny Messner,anaconda|blood|borneo|flower|orchid,PG-13,Action,,,,
Phil Alden Robinson,Bruce McGill,Morgan Freeman,The Sum of All Fears?,Philip Baker Hall,analyst|cia|nuclear bomb|nuclear weapons|russia,PG-13,Action,Drama,,,
Stephen Sommers,Brendan Fraser,Dwayne Johnson,The Mummy Returns?,Patricia Velasquez,ancient egypt|bracelet|king|scorpion|son,PG-13,Action,,,,
Alex Proyas,Elodie Yung,Gerard Butler,Gods of Egypt?,Bryan Brown,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,PG-13,Action,,,,
Renny Harlin,Luke Newberry,Roxanne McKee,The Legend of Hercules?,Gaia Weiss,ancient greece|forbidden love|hercules|king|slavery,PG-13,Action,,,,
Fred Dekker,Rip Torn,CCH Pounder,RoboCop 3?,Mako,android|corporation|ninja|police|robocop,PG-13,Action,,,,
Jonathan Mostow,Devin Ratray,Bruce Willis,Surrogates?,Boris Kodjoe,android|fbi agent|future|murder|robot,PG-13,Action,,,,
Peter Jackson,Thomas Kretschmann,Naomi Watts,King Kong?,Evan Parke,animal name in title|ape abducts a woman|gorilla|island|king kong,PG-13,Action,,Drama,,
Peyton Reed,Hayley Atwell,Judy Greer,Ant-Man?,T.I.,ant|chinatown san francisco|heist|sabotage|vault,PG-13,Action,,Comedy,,
John Woo,Joe Morton,Ivana Milicevic,Paycheck?,Callum Rennie,anti hero|babe scientist|engineer|memory|money,PG-13,Action,,,,
Paul Weitz,Salma Hayek,Josh Hutcherson,Cirque du Freak: The Vampire's Assistant?,Patrick Fugit,antidote|based on young adult novel|flyer|spider|vampire,PG-13,Action,,,,
Louis Leterrier,Peter Mensah,Ty Burrell,The Incredible Hulk?,William Hurt,antidote|cure|hulk|marvel cinematic universe|opening action scene,PG-13,Action,,,,
Hyung-rae Shim,Aimee Garcia,Robert Forster,Dragon Wars: D-War?,Chris Mulkey,antique shop|asian dragon|dragon|korean|reporter,PG-13,Action,Drama,,,
Colin Strause,Donald Faison,David Zayas,Skyline?,Brittany Daniel,apartment|blue light|drawing|group of friends|light,PG-13,Action,,,,
Brett Ratner,Gabourey Sidibe,Matthew Broderick,Tower Heist?,Judd Hirsch,apartment|fbi|fraud|heist|manager,PG-13,Action,Comedy,,,
Matt Reeves,Judy Greer,Gary Oldman,Dawn of the Planet of the Apes?,Kodi Smit-McPhee,ape|dam|leader|post apocalypse|sequel,PG-13,Action,,Drama,,
Stefan Ruzowitzky,Udo Kier,Eddie Izzard,All the Queen's Men?,Edward Fox,apostrophe in title|behind enemy lines|box office flop|gay interest|punctuation in title,PG-13,Action,Comedy,Drama,,
Jonathan Lynn,Rupert Everett,Rupert Grint,Wild Target?,Geoff Bell,apprentice|assassin|hitman|kleptomaniac|thief,PG-13,Action,Comedy,,,
Sergey Bodrov,Djimon Hounsou,Jeff Bridges,Seventh Son?,Olivia Williams,apprentice|demon|exorcism|master apprentice relationship|witch,PG-13,Action,,,,
Joe Johnston,Viggo Mortensen,J.K. Simmons,Hidalgo?,Peter Mensah,arab|cowboy|horse|race|sheik,PG-13,Action,,,,
Joe Johnston,Dominic Cooper,Chris Evans,Captain America: The First Avenger?,Hayley Atwell,arctic|captain america|scientist|tesseract|war bond,PG-13,Action,,,,
Ryan Little,Larry Bagby,Corbin Allred,Saints and Soldiers?,Kirby Heyborne,ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium,PG-13,Action,,Drama,,
Shawn Levy,Torey Michael Adkins,Hugh Jackman,Real Steel?,Olga Fonda,arena|boxing|boxing movie|robot|robot battle,PG-13,Action,Drama,,,
George Miller,Bruce Spence,Tina Turner,Mad Max Beyond Thunderdome?,Angelo Rossitto,arena|desert|fight|mad max|post apocalypse,PG-13,Action,,,,
Paul W.S. Anderson,Currie Graham,Sasha Roiz,Pompeii?,Dylan Schombing,arena|lava bomb|mount vesuvius|pompeii|slave,PG-13,Action,,Drama,,
Jonathan Liebesman,Edgar Ramírez,Liam Neeson,Wrath of the Titans?,Lily James,ares|hades|titan|underworld|zeus,PG-13,Action,,,,
Roland Emmerich,Liam James,Oliver Platt,2012?,Tom McCarthy,ark|catastrophe|geologist|president|writer,PG-13,Action,,,,
Darren Aronofsky,Emma Watson,Anthony Hopkins,Noah?,Logan Lerman,ark|flood|noah's ark|water|wrath of god,PG-13,Action,,Drama,,
Brian Trenchard-Smith,Udo Kier,Michael Biehn,Megiddo: The Omega Code 2?,Franco Nero,armageddon|battle|end times|reference to satan|sequel,PG-13,Action,,,,
Shane Black,Jon Favreau,Robert Downey Jr.,Iron Man 3?,Don Cheadle,armor|explosion|human bomb|missile attack|terrorist,PG-13,Action,,,,
Kaige Chen,Toby Leonard Moore,Dong-gun Jang,The Promise?,Nicholas Tse,armor|general|king|princess|slave,PG-13,Action,Drama,,,
John Luessenhop,Hayden Christensen,Paul Walker,Takers?,Jay Hernandez,armored car|bank|falling out among thieves|heist|planning,PG-13,Action,,,,
Christopher Nolan,Liam Neeson,Christian Bale,Batman Begins?,Morgan Freeman,armored car|gangster|gotham|mixed martial arts|social decay,PG-13,Action,,,,
Nimród Antal,Fred Ward,Andrew Fiscella,Armored?,Lorna Raver,armored truck|blood splatter|die hard scenario|guard|heist,PG-13,Action,,,,
J.J. Abrams,Tom Cruise,Philip Seymour Hoffman,Mission: Impossible III?,Eddie Marsan,arms dealer|fictional government agency|mission|rescue|vatican,PG-13,Action,,,,
Rob Cohen,Brendan Fraser,Jet Li,The Mummy: Tomb of the Dragon Emperor?,Russell Wong,army|china|emperor|mummy|shangri la,PG-13,Action,,,,
Gavin Hood,Ryan Reynolds,Hugh Jackman,X-Men Origins: Wolverine?,Dominic Monaghan,army|civil war|claw fight|commando|wolverine the character,PG-13,Action,,,,
Stuart Beattie,Kevin Grevioux,Caitlin Stasey,"I, Frankenstein?",Miranda Otto,army|creature|demon|frankenstein|gargoyle,PG-13,Action,,,,
Brett Ratner,Rufus Sewell,Dwayne Johnson,Hercules?,Ingrid Bols? Berdal,army|greek mythology|hercules|king|mercenary,PG-13,Action,,,,
Steve Miner,Usher Raymond,Tom Skerritt,Texas Rangers?,Leonor Varela,army|mexican|orphan|texas|texas ranger,PG-13,Action,,Drama,,
Alan Taylor,Natalie Portman,Chris Hemsworth,Thor: The Dark World?,Anthony Hopkins,arrest|portal|thor|warrior|weapon,PG-13,Action,,,,
Jon Amiel,Kevin McNally,Will Patton,Entrapment?,Maury Chaykin,art thief|insurance|mask|master thief|reference to iron maiden,PG-13,Action,,,,
Joss Whedon,Robert Downey Jr.,Chris Hemsworth,Avengers: Age of Ultron?,Scarlett Johansson,artificial intelligence|based on comic book|captain america|marvel cinematic universe|superhero,PG-13,Action,,,,
Rob Cohen,Joe Morton,Sam Shepard,Stealth?,Richard Roxburgh,artificial intelligence|box office flop|fighter jet|navy|pilot,PG-13,Action,,,,
Roger Donaldson,Grant Heslov,Jamie Renée Smith,Dante's Peak?,Tzi Ma,ash|escape|lava|mayor|volcano,PG-13,Action,,,,
Rob Bowman,Cary-Hiroyuki Tagawa,Jennifer Garner,Elektra?,Goran Visnjic,assassin|battle|heroine|martial arts|spin off,PG-13,Action,,,,
Paul Greengrass,Joan Allen,Matt Damon,The Bourne Supremacy?,Oksana Akinshina,assassin|car chase|cia|hidden truth|one against many,PG-13,Action,,,,
Tony Gilroy,Scott Glenn,Jeremy Renner,The Bourne Legacy?,Stacy Keach,assassin|cia|drone|pill|wolf,PG-13,Action,,,,
Guillermo del Toro,Rupert Evans,James Babson,Hellboy?,Brian Steele,assassin|demon|hero|nazi|superhero,PG-13,Action,,,,
Rob Cohen,Chad Lindberg,Cicely Tyson,Alex Cross?,Carmen Ejogo,assassin|detective|partner|police|serial killer,PG-13,Action,,,,
Babar Ahmed,Alexander Wraith,Lalaine,Royal Kill?,Darren Kendrick,assassin|female assassin|kingdom|martial arts|mission,PG-13,Action,,,,
Joe Wright,Vicky Krieps,Jessica Barden,Hanna?,John Macmillan,assassin|female warrior|martial arts|playground|training,PG-13,Action,Drama,,,
John Singleton,Benjamin J. Cain Jr.,Ken Arnold,Abduction?,Richard Cetrone,assassin|high school|on the run|teenager|website,PG-13,Action,,,,
Doug Liman,Angelina Jolie Pitt,Brad Pitt,Mr. & Mrs. Smith?,Stephanie March,assassin|marriage|secret agent|suburb|target,PG-13,Action,Comedy,,,
Michael Bay,Steve Buscemi,Bruce Willis,Armageddon?,Will Patton,asteroid|astronaut|bomb|meteorite|outer space,PG-13,Action,,,,
Ivan Reitman,Cathy Moriarty,Richard Tyson,Kindergarten Cop?,Penelope Ann Miller,astoria|kindergarten|kindergarten teacher|school|teacher,PG-13,Action,Comedy,,,
Tim Burton,Estella Warren,Cary-Hiroyuki Tagawa,Planet of the Apes?,Erick Avari,astronaut|cage|planet|wilhelm scream|year 2029,PG-13,Action,,,,
Antony Hoffman,Val Kilmer,Bob Neill,Red Planet?,Tom Sizemore,astronaut|mars|robot|robot as menace|survival,PG-13,Action,,,,
Mimi Leder,Jon Favreau,Morgan Freeman,Deep Impact?,Robert Duvall,astronomer|comet|mission|president|secretary,PG-13,Action,Drama,,,
Ericson Core,Edgar Ramírez,Ray Winstone,Point Break?,Delroy Lindo,athlete|extreme sports|fbi|fbi agent|heist,PG-13,Action,,,,
D.J. Caruso,Ethan Embry,Rosario Dawson,Eagle Eye?,Cameron Boyce,audio surveillance|death|pentagon|technology|twin brother,PG-13,Action,,,,
Ron Shelton,Bruce Greenwood,Harrison Ford,Hollywood Homicide?,Lena Olin,audition|kissing while having sex|machismo|murder|sex,PG-13,Action,Comedy,,,
Dominic Sena,Angelina Jolie Pitt,Nicolas Cage,Gone in Sixty Seconds?,Robert Duvall,auto theft|brother|car|theft|thief,PG-13,Action,,,,
Michael Bay,Lester Speight,Glenn Morshower,Transformers: Dark of the Moon?,Kevin Dunn,autobot|decepticon|job interview|moon|spacecraft,PG-13,Action,,,,
Michael Bay,Kevin Dunn,Glenn Morshower,Transformers: Revenge of the Fallen?,Ramon Rodriguez,autobot|decepticon|machine|sun|symbol,PG-13,Action,,,,
Martin Campbell,Temuera Morrison,Ryan Reynolds,Green Lantern?,Taika Waititi,autopsy|lantern|planet|ring|test pilot,PG-13,Action,,,,
James Cameron,Joel David Moore,CCH Pounder,Avatar?,Wes Studi,avatar|future|marine|native|paraplegic,PG-13,Action,,,,
John Stockwell,James Frain,Paul Walker,Into the Blue?,Ashley Scott,bahamas|blood splatter|cocaine|hairy chest|shark,PG-13,Action,,,,
Julie Anne Robinson,Debbie Reynolds,Fisher Stevens,One for the Money?,Patrick Fischler,bail bond|bounty hunter|jeans|shot in the butt|title directed by female,PG-13,Action,Comedy,,,
Kevin Reynolds,Morgan Freeman,Alan Rickman,Robin Hood: Prince of Thieves?,Michael Wincott,balladeer|crusades|england|king|modern minstrel,PG-13,Action,,Drama,,
Edgar Wright,Kieran Culkin,Anna Kendrick,Scott Pilgrim vs. the World?,Ellen Wong,band|dating|high school|hipster|rock band,PG-13,Action,Comedy,,,
Richard Linklater,Lew Temple,Matthew McConaughey,The Newton Boys?,Dwight Yoakam,bank robber|brother brother relationship|crime spree|explosive|train,PG-13,Action,,Drama,,
Chuck Russell,Amy Yasbeck,Peter Greene,The Mask?,Reg E. Cathey,bank|bank clerk|gangster|loki|mask,PG-13,Action,Comedy,,,
Doug Liman,Hayden Christensen,Kristen Stewart,Jumper?,Tom Hulce,bank|based on novel|ice|teleportation|vault,PG-13,Action,,,,
Joachim R?nning,Sam Shepard,Salma Hayek,Bandidas?,Dwight Yoakam,bank|cleavage|farmer|female gunfighter|mexico,PG-13,Action,Comedy,,,
Louis Leterrier,Qi Shu,Jason Statham,The Transporter?,Matt Schulze,bar|gunfight|human trafficking|mixed martial arts|tire iron,PG-13,Action,,,,
Camille Delamarre,Robert Maillet,Paul Walker,Brick Mansions?,RZA,bare chested male bondage|crime lord|die hard scenario|two word title|undercover,PG-13,Action,,Drama,,
Ang Lee,Pei-Pei Cheng,Chen Chang,"Crouching Tiger, Hidden Dragon?",Sihung Lung,bare midriff|china|magical realism|martial arts|sword,PG-13,Action,Drama,,,
Zack Snyder,Lauren Cohan,Henry Cavill,Batman v Superman: Dawn of Justice?,Alan D. Purwin,based on comic book|batman|sequel to a reboot|superhero|superman,PG-13,Action,,,,
Zack Snyder,Christopher Meloni,Henry Cavill,Man of Steel?,Harry Lennix,based on comic book|british actor playing american character|final battle|origin of hero|reboot,PG-13,Action,,,,
Dave Green,Noel Fisher,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows?,Brad Garrett,based on comic book|brother brother relationship|rat|sequel|turtle,PG-13,Action,,Comedy,,
David Ayer,Robin Atkin Downes,Will Smith,Suicide Squad?,Ike Barinholtz,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,PG-13,Action,,Comedy,,
Christopher Nolan,Heath Ledger,Christian Bale,The Dark Knight?,Morgan Freeman,based on comic book|dc comics|psychopath|star died before release|urban setting,PG-13,Action,,Drama,,
Anthony Russo,Scarlett Johansson,Robert Downey Jr.,Captain America: Civil War?,Chris Evans,based on comic book|knife|marvel cinematic universe|returning character killed off|superhero,PG-13,Action,,,,
